obsid,species,colors,time,duration,attempts,Rinter,Rintra,Iinter,Iintra,Notes,Successes,Observer,Sex,birdid
010112Lab,Rheg,gp-s,956:00:00,04:30:00,4,0,0,0,0,,2,CETP,Female,Rgp-s
010112Lab,Rheg,y-sy,1018:00:00,02:30:00,2,0,0,0,0,juv,0,CETP,Unknown,Ry-sy
010112Lab,G. sal,go-s,1125:00:00,02:50:00,4,0,0,0,0,CF,2,CETP,Male,Ggo-s
010112Lab,G. sal,bw-s,1137:00:00,03:00:00,1,0,0,0,0,also Rfood go-s,1,CETP,Female,Gbw-s
010112Lab,G. sal,go-s,1144:00:00,02:00:00,2,0,0,0,0,,0,CETP,Male,Ggo-s
010113Let,D. mer,s-wb,1513:00:00,04:00:00,0,0,0,0,0,,0,SKW,Female,Ds-wb
010115Lab,Phleg,ob-s,905:00:00,04:00:00,3,0,0,0,0,,2,SKW,Female,Pob-s
010115Lab,Phleg,rr-s,920:00:00,03:15:00,5,0,0,0,0,,4,SKW,Male,Prr-s
010115Lab,M. fort,r-sg,925:00:00,04:00:00,2,1,0,0,0,Phleg,1,SKW,Male,Mr-sg
010115Lab,Phleg,unb,931:00:00,03:15:00,0,0,0,0,0,juv,0,SKW,Unknown,Punb
010115Lab,Phleg,ob-s,934:00:00,01:30:00,4,0,0,0,0,,4,SKW,Female,Pob-s
010115Lab,Phleg,rr-s,943:00:00,03:15:00,1,0,0,0,0,,0,SKW,Male,Prr-s
010115Izu,Rheg,gp-s,1108:00:00,02:20:00,1,0,0,0,0,,0,SKW,Female,Rgp-s
010117Tit,G. sal,pp-s,801:00:00,03:30:00,0,0,0,0,0,,0,DRH,Male,Gpp-s
010117Tit,D. mer,s-wb,821:00:00,02:00:00,0,0,0,0,0,,0,DRH,Female,Ds-wb
010117Tit,Phleg,o-so,834:00:00,02:40:00,3,0,0,0,0,,3,DRH,Unknown,Po-so
010117Stu,M. fort,s-pp,1024:00:00,03:00:00,5,0,0,0,0,,3,DRH,Female,Ms-pp
010117Stu,Phleg,ro-s,1029:00:00,02:50:00,2,0,0,0,0,,1,DRH,Male,Pro-s
010118Tit,Phleg,o-so,804:00:00,02:10:00,0,0,0,0,0,,0,DRH,Unknown,Po-so
010118Tit,D. mer,s-wb,814:00:00,04:00:00,7,0,0,0,0,,4,DRH,Female,Ds-wb
010118Tit,Phleg,o-so,819:00:00,01:20:00,2,0,0,0,0,,2,DRH,Unknown,Po-so
010118Tit,G. sal,pp-s,826:00:00,01:00:00,1,0,0,0,0,CF,1,DRH,Male,Gpp-s
001023Tin,Phleg,s-by,1030:00:00,04:00:00,4,0,0,0,0,,3,KJS,Female,Ps-by
001104Riv,M. fort,unb,815:00:00,02:50:00,2,0,0,0,0,alone,1,KJS,Unknown,Munb
001108Izu,Rheg,r-sr,1100:00:00,03:50:00,2,0,0,0,0,alone,2,KJS,Male,Rr-sr
001114Lab,Rheg,r-sr,1015:00:00,04:00:00,1,0,0,0,0,alone,0,KJS,Male,Rr-sr
001117Izu,G. sal,yy-s,750:00:00,04:00:00,0,0,0,0,0,alone w/ mate (s-oy),0,KJS,Male,Gyy-s
001118Tin,G. sal,bw-s,1000:00:00,04:00:00,4,0,0,0,0,alone,3,KJS,Female,Gbw-s
001124Izu,G. sal,s-oy,945:00:00,02:50:00,1,0,0,0,0,,1,KJS,Female,Gs-oy
001125Lab,D. mer,s-pr,1010:00:00,03:45:00,5,0,0,0,0,,4,KJS,Female,Ds-pr
001128Edw,G. sal,yy-s,1100:00:00,01:20:00,2,0,0,0,0,,0,KJS,Male,Gyy-s
001128Edw,G. sal,s-oy,1110:00:00,03:50:00,1,0,0,0,0,,1,KJS,Female,Gs-oy
001129Lab,G. sal,s-oy,1117:00:00,04:00:00,5,0,0,0,0,,3,KJS,Female,Gs-oy
