,obsid,species,duration,duration_seconds,attempts,Rinter,Rintra,Iinter,Iintra,Successes,Ind_Rinter,Ind_Rintra,Ind_Iinter,Ind_Iintra,Ind_Successes
700,070609ElianaAM,G. sal,0:00:02,2,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
701,070611KathyAM,G. sal,0:00:01,1,1,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
702,070611KathyAM,G. sal,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
703,070611ChrisAM,G. sal,0:00:01,1,1,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
704,070611ChrisAM,G. sal,0:00:01,1,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
705,070611ChrisAM,G. sal,0:00:00,0,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
706,070611KathyAM,G. sal,0:00:02,2,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
707,070611KathyAM,G. sal,0:00:01,1,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
708,070611KathyAM,G. sal,0:00:02,2,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
709,070611KathyAM,G. sal,0:00:01,1,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
710,070611KathyAM,G. sal,0:00:01,1,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
711,070609ElianaAM,D. mer,2:05:00,7500,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
712,070609ElianaAM,D. mer,3:28:00,12480,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
713,070609ElianaAM,D. mer,1:02:00,3720,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
714,070609ElianaAM,D. mer,1:16:00,4560,0,0,1,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
715,070609ElianaAM,D. mer,0:56:00,3360,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
716,070611ElianaAM,D. mer,1:05:00,3900,0,0,1,0,2,0,FALSE,TRUE,FALSE,TRUE,FALSE
717,070611ElianaAM,D. mer,3:02:00,10920,1,0,1,0,0,1,FALSE,TRUE,FALSE,FALSE,TRUE
