"","obsid","species","duration","duration_seconds","attempts","Rinter","Rintra","Iinter","Iintra","Successes","Ind_Rinter","Ind_Rintra","Ind_Iinter","Ind_Iintra","Ind_Successes"
"710","070611KathyAM","Phleg","1:11:00",71,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"711","070611KathyAM","Phleg","1:14:00",74,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"712","070611KathyAM","Phleg","4:11:00",251,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"713","070611KathyAM","Phleg","2:49:00",169,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"714","070611KathyAM","Phleg","1:19:00",79,2,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"715","070611KathyAM","Phleg","2:43:00",163,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"716","070611KathyAM","Phleg","2:35:00",155,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"717","070611KathyAM","Phleg","2:35:00",155,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"718","070612ChrisAM","D. mer","1:28:00",88,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"719","070612ChrisAM","D. mer","1:24:00",84,3,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,TRUE
"720","070612ChrisAM","D. mer","2:00:00",120,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"721","070612ChrisAM","D. mer","1:57:00",117,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"722","070612ChrisAM","D. mer","2:08:00",128,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"723","070612ChrisAM","D. mer","0:52:00",52,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"724","070612KathyAM","D. mer","4:02:00",242,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"725","070613SharonPM","D. mer","4:05:00",245,2,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"726","070609ElianaAM","Rheg","2:10:00",130,2,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"727","070609ElianaAM","Rheg","2:26:00",146,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"728","070609ElianaAM","Rheg","3:40:00",220,3,0,1,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE
"729","070609ElianaAM","Rheg","1:36:00",96,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"730","070609ElianaAM","Rheg","2:14:00",134,3,0,0,0,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
"731","070612ChrisAM","Rheg","1:31:00",91,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"732","070612ChrisAM","Rheg","2:00:00",120,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"733","070612ChrisAM","Rheg","0:51:00",51,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"734","070613SharonPM","Rheg","1:32:00",92,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"735","070613SharonPM","Rheg","1:42:00",102,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"736","070613SharonPM","Rheg","2:20:00",140,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"737","070613SharonPM","Rheg","0:51:00",51,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"738","070613SharonAM","Rheg","0:39:00",39,1,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"739","070612ChrisAM","G. sal","2:08:00",128,0,1,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"740","070612KathyAM","G. sal","1:59:00",119,3,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"741","070619Norma-JeanAM","D. mer","1:08:00",68,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"742","070620ChrisAM","M. fort","1:11:00",71,0,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"743","070620ChrisAM","M. fort","3:06:00",186,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"744","070620ChrisAM","M. fort","2:21:00",141,5,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"745","070620ChrisAM","M. fort","3:45:00",225,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"746","070620ChrisAM","M. fort","1:11:00",71,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"747","070619KathyAM","D. mer","1:10:00",70,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"748","070619KathyAM","D. mer","2:57:00",177,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"749","070619ChrisAM","D. mer","2:00:00",120,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"750","070619ChrisAM","D. mer","2:00:00",120,1,0,0,0,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
"751","070619ChrisAM","D. mer","0:34:00",34,1,0,0,1,0,1,FALSE,FALSE,TRUE,FALSE,TRUE
"752","070619ChrisAM","D. mer","1:24:00",84,4,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"753","070619ChrisAM","D. mer","1:00:00",60,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"754","070619ChrisAM","D. mer","2:33:00",153,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"755","070619ChrisAM","D. mer","1:52:00",112,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"756","070620RaniAM","D. mer","1:00:00",60,0,0,0,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE
"757","070620RaniAM","D. mer","1:07:00",67,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"758","070621KathyAM","D. mer","2:42:00",162,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,TRUE
"759","070621KathyAM","D. mer","1:07:00",67,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"760","070615RaniPM","Rheg","1:13:00",73,5,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,TRUE
"761","070616ChrisPM","Rheg","1:13:00",73,1,2,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"762","070616ChrisPM","Rheg","4:50:00",290,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"763","070616ChrisPM","Rheg","3:45:00",225,2,1,0,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE
"764","070616ChrisPM","Rheg","2:33:00",153,3,1,0,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE
"765","070616ChrisAM","Rheg","1:00:00",60,3,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,TRUE
"766","070616ChrisAM","Rheg","1:00:00",60,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
